
Délka, síla, úhel
(149600000000.0, 3.5436904308398153e+22, 3.141592653589793)

Délka, síla, úhel
(227990400000.0, 1.6319503526905085e+21, 3.141592653589793)

Délka, síla, úhel
(57895200000.0, 1.3069772503130757e+22, 0.0)

Délka, síla, úhel
(108160800000.0, 5.524520609657776e+22, 3.141592653589793)

Délka, síla, úhel
(149599999702.58652, 3.54369044492994e+22, 2.836219353842482e-25)

Délka, síla, úhel
(78390400000.0, 4.14628620637283e+16, 3.141592653589793)

Délka, síla, úhel
(207495200000.0, 3056201682314095.0, 0.0)

Délka, síla, úhel
(41439200000.0, 1.130463719607946e+18, 0.0)

Délka, síla, úhel
(227990399702.58652, 1.6319503569482668e+21, 1.8610363201468252e-25)

Délka, síla, úhel
(78476880651.61476, 4.1371529187623736e+16, 0.03279580584272362)

Délka, síla, úhel
(285885600000.0, 172200599522465.5, 0.0)

Délka, síla, úhel
(119829600000.0, 1.446013127027388e+16, 0.0)

Délka, síla, úhel
(57895200297.4135, 1.306977236884927e+22, 3.141592653589793)

Délka, síla, úhel
(207466877930.35886, 3057036166024657.5, 3.129189145097123)

Délka, síla, úhel
(285874103395.31256, 172214450109167.97, 3.1343157748851027)

Délka, síla, úhel
(166056000000.0, 3888699568031255.5, 3.141592653589793)

Délka, síla, úhel
(108160799702.5865, 5.524520640039707e+22, 3.922848348551541e-25)

Délka, síla, úhel
(41474823028.459656, 1.1285226264827235e+18, 3.0795090857994536)

Délka, síla, úhel
(119828592690.25554, 1.4460374382406464e+16, 3.1242315440777277)

Délka, síla, úhel
(165810930642.4299, 3900203096433719.5, -0.024701486723798433)

Délka, síla, úhel
(149577854759.97858, 3.544739806558136e+22, 3.1243883812729396)

Délka, síla, úhel
(227980825212.35712, 1.6320874335715813e+21, 3.1324678437207503)

Délka, síla, úhel
(57744955281.075424, 1.3137872612782491e+22, -0.07098110918791706)

Délka, síla, úhel
(108118439224.78236, 5.528850469068964e+22, 3.1136036887505325)

Délka, síla, úhel
(149577854165.18976, 3.5447398347490955e+22, -0.017204272354148894)

Délka, síla, úhel
(78417165157.25725, 4.143456288634943e+16, -3.1353057439466747)

Délka, síla, úhel
(207262574446.19333, 3063065918040724.0, -0.032180254074183956)

Délka, síla, úhel
(41482093624.46934, 1.1281270672263219e+18, 0.01090798079623498)

Délka, síla, úhel
(227980824617.54263, 1.6320874420879926e+21, -0.009124809872433118)

Délka, síla, úhel
(78564012760.35954, 4.127981315906809e+16, 0.03902888735484172)

Délka, síla, úhel
(285637649367.3566, 172499690203090.06, -0.021622128787954047)

Délka, síla, úhel
(119898969107.15414, 1.4443403916758142e+16, 0.007885681568093885)

Délka, síla, úhel
(57744955874.70454, 1.313787234266284e+22, 3.0706115450519924)

Délka, síla, úhel
(207272804130.40363, 3062763578098359.5, 3.096993630022787)

Délka, síla, úhel
(285652074665.9332, 172482268332739.9, 3.1126874148655435)

Délka, síla, úhel
(165828609655.85236, 3899371538265834.0, 3.09863698657721)

Délka, síla, úhel
(108118438630.0883, 5.528850529890681e+22, -0.02798896495018275)

Délka, síla, úhel
(41445314339.67928, 1.1301301943625646e+18, 3.09041828180815)

Délka, síla, úhel
(119862479528.96233, 1.4452199228531122e+16, 3.1321266345495276)

Délka, síla, úhel
(165462722487.72406, 3916635940178301.5, -0.06771271668325456)

Délka, síla, úhel
(149555700288.09854, 3.545790086218251e+22, 3.107179012136919)

Délka, síla, úhel
(227971166656.99295, 1.6322257312431627e+21, 3.1233422638877246)

Délka, síla, úhel
(57589864571.261406, 1.3208729024850085e+22, -0.14233919094343284)

Délka, síla, úhel
(108076063962.90762, 5.533186904136807e+22, 3.0855927732840063)

Délka, síla, úhel
(149555699395.95752, 3.5457901285214836e+22, -0.034413641565004205)

Délka, síla, úhel
(78472239389.31255, 4.137642319342046e+16, -3.1290349050147284)

Délka, síla, úhel
(206903504229.48004, 3073706724905485.5, -0.06440002793368979)

Délka, síla, úhel
(41570320221.86148, 1.1233435970662519e+18, 0.02173220049803646)

Délka, síla, úhel
(227971165764.6974, 1.6322257440204605e+21, -0.018250389712369024)

Délka, síla, úhel
(78679318121.77719, 4.115890982302719e+16, 0.04521627541679186)

Délka, síla, úhel
(285207299558.4787, 173020653135284.22, -0.04324510022352552)

Délka, síla, úhel
(120041415960.33098, 1.4409145794992996e+16, 0.01573482036011045)

Délka, síla, úhel
(57589865456.40534, 1.3208728618819398e+22, 2.9992534646045192)

Délka, síla, úhel
(206952396185.3726, 3072254586299513.5, 3.0647537685254607)

Délka, síla, úhel
(285247651371.88434, 172971704768815.3, 3.091054670565636)

Délka, síla, úhel
(165525923618.8306, 3913645610215959.0, 3.055586360387985)

Délka, síla, úhel
(108076063071.33638, 5.5331869954286285e+22, -0.05599988063909158)

Délka, síla, úhel
(41461205110.9156, 1.1292640739086205e+18, 3.101360553080766)

Délka, síla, úhel
(119969510694.6118, 1.4426423584143408e+16, 3.1400007590499954)

Délka, síla, úhel
(165038442815.8283, 3936799545573512.5, -0.11081070185849366)

Délka, síla, úhel
(149533543154.42712, 3.546840959004445e+22, 3.0899645422905597)

Délka, síla, úhel
(227961425133.93533, 1.632365234708046e+21, 3.1142159072820794)

Délka, síla, úhel
(57430695519.241394, 1.328204641325233e+22, -0.21408841206697113)

Délka, síla, úhel
(108033707472.82927, 5.5375265186033105e+22, 3.057559883063807)

Délka, síla, úhel
(149533541964.93668, 3.546841015432366e+22, -0.05162811152394693)

Délka, síla, úhel
(78555583822.48979, 4.128867220206771e+16, -3.1227941215770847)

Délka, síla, úhel
